;name;retentionRate;fullStreams;consistency;amortisedConsistency;mean;score
1230;No. 1 Party Anthem (Arctic Monkeys);0.9375414408680979;61;0.08132530120481928;0.1125;0.18863446407856618;0.017327072251406866
1231;Noc w noc (Quebonafide);0.9201435475353285;11;0.03313253012048193;0.049107142857142856;0.03592151987375156;9.515575879653531e-05
1232;Nocturne (Daft Punk);0.9999719028512987;14;0.02108433734939759;0.03783783783783784;0.04204086078053508;4.8282044776793096e-05
1233;Noisemaker (nervous_testpilot);0.9809900099153422;20;0.030120481927710843;0.3125;0.06186423485952609;0.0013572280987094727
1234;Normal (Eminem);0.8312162605572712;8;0.009036144578313253;0.017341040462427744;0.029953739119180943;1.354518880616382e-06
1235;Normalnie żyjąc (Guzior);0.8947172650120917;14;0.015060240963855422;0.025;0.04836309540605901;1.3975281547965608e-05
1236;Nostalgia (Taco Hemingway);0.9668062084889337;226;0.3253012048192771;0.47368421052631576;0.6938939454319974;8.82051822200477
1237;Not Afraid (Eminem);0.7718289598486201;12;0.03313253012048193;0.05188679245283019;0.03940267963191153;8.082622425000293e-05
1238;Not Alike (feat. Royce Da 5'9) (Eminem);0.7872375783620169;5;0.006024096385542169;0.011560693641618497;0.01891261449518359;1.7878255492960036e-07
1239;Not Made For This World (Tove Lo);0.9371534034107064;10;0.006024096385542169;0.011627906976744186;0.030957019331885195;6.520581317480013e-07
1240;Not My Responsibility (Billie Eilish);0.8851988984491322;4;0.0030120481927710845;0.038461538461538464;0.013291274751488473;1.2608851311966915e-07
1241;Not Today (Twenty One Pilots);0.9349325361665725;39;0.06626506024096386;0.10476190476190476;0.12353462940339097;0.0055117827739948845
1242;Nothing On Me (KAI);0.892311123876683;18;0.018072289156626505;0.23076923076923078;0.058951485661522605;0.0002622749013006046
1243;Now I Want (Son Lux);1.0;8;0.018072289156626505;0.03296703296703297;0.024024024024024024;1.3351161813234647e-05
1244;Now I'm Free (waykap);0.9812562092602454;11;0.018072289156626505;0.23076923076923078;0.03536058411748632;0.00015011409488125096
1245;Now I'm Free - Instrumental Version (waykap);0.75707972456578;11;0.02108433734939759;0.2692307692307692;0.03864971566852331;0.0001483520911293899
1246;Nowe Szklane Domy (Kaz Bałagane);0.8511738726173872;4;0.012048192771084338;0.058823529411764705;0.012780388477738547;2.797457395475039e-06
1247;Nowe dzwięki (Żabson);0.9352728944042284;23;0.03614457831325301;0.10714285714285714;0.07583293738412664;0.0007755021737390514
1248;Nowhere To Go (Nite Jewel);1.0;9;0.02108433734939759;0.02880658436213992;0.02702702702702703;1.8947561546634178e-05
1249;Nowhere To Run (Stegosaurus Rex);0.9196397222222222;20;0.02710843373493976;0.25;0.06628034034034035;0.0008000307205587426
1250;Nowy Dzień (SoDrumatic);0.8650474074074074;10;0.015060240963855422;0.029069767441860465;0.031172879546212878;8.711113595921132e-06
1251;Nowy Kolor (Otsochodzi);0.9812287265224588;159;0.22590361445783133;0.35545023696682465;0.4920876796674194;1.9479779921537197
1252;Nowy Kolor feat. Taco Hemingway (Otsochodzi);0.9080263685995577;55;0.08433734939759036;0.125;0.17451557834946455;0.01684327808509345
1253;Ntds (Epic Mountain);0.8425897943324927;8;0.015060240963855422;0.053763440860215055;0.027833296509481742;1.1554618108714936e-05
1254;Nuke a City (Epic Mountain);0.9990391153671199;14;0.02108433734939759;0.07;0.042001644489908944;8.91136270888313e-05
1255;Nóż (TACONAFIDE);0.9797151168890339;96;0.10542168674698796;0.18134715025906736;0.3030350061248363;0.1022322474450128
1256;NНΞЙ (ΔXIUS LIИK);0.9259875085288406;14;0.02710843373493976;0.2571428571428571;0.04171114903283066;0.00046328440931970005
1257;O Sportowcu, Któremu Nie Wyszło (Dwa Sławy);0.920364289523168;36;0.04216867469879518;0.06451612903225806;0.11608198246238154;0.0011919351680705556
1258;O jak dobrze (FullFlejworRimejk) (Łona I Webber);1.0;5;0.009036144578313253;0.018867924528301886;0.015015015015015015;9.438942971882227e-07
1259;ODIUM (LXST CXNTURY);0.9564634197587931;22;0.045180722891566265;0.2054794520547945;0.07180656304495443;0.002262123078115139
1260;OMG (Otsochodzi);0.9682034984875231;60;0.0963855421686747;0.2119205298013245;0.19480370690289503;0.04887423516751958
1261;OUT OF THE FRAME (Lorn);0.9916076459828442;16;0.018072289156626505;0.05309734513274336;0.04764481181899552;5.9553414184353844e-05
1262;Ob Irgendwas Von Uns Bleibt (Ben Frost);0.9452495568381346;5;0.006024096385542169;0.0273972602739726;0.017031523546633055;5.796698046501048e-07
1263;Oblivion (M83);1.0;5;0.006024096385542169;0.02564102564102564;0.015015015015015015;5.701013988715192e-07
1264;Obsess (Enjoii);0.974990059071277;21;0.04216867469879518;0.08917197452229299;0.06441375765636065;0.0008033730796935672
1265;Oceans (Phaeleh);0.952478154683657;48;0.09036144578313253;0.17751479289940827;0.1487353274581086;0.024342167365689456
1266;Oceans of Time (John D. Boswell);1.0185839607019211;62;0.06325301204819277;0.17355371900826447;0.19270507364630943;0.01960777329501811
1267;Od początku (Otsochodzi);0.9069274069604081;12;0.024096385542168676;0.037914691943127965;0.03812908017250965;4.2429293582122076e-05
1268;Od zera (Taco Hemingway);1.0;18;0.02710843373493976;0.28125;0.05405405405405406;0.0008649440659454819
1269;Ode to Sleep (Twenty One Pilots);0.9155787023116491;29;0.04216867469879518;0.06666666666666667;0.09073302455340666;0.0008680818988999841
1270;Odyseusz (Quebonafide);0.924722329481519;45;0.06927710843373494;0.11442786069651742;0.14717802841597746;0.00810714567787459
1271;Odyssey Rescue (M83);0.939955347575574;18;0.024096385542168676;0.04371584699453552;0.05927646336062178;9.828127842277998e-05
