;trackName;artists;primaryArtist;album;durationMs;explicit;artistGenres;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;timeSignature
7109;Felt Like Playing Guitar And Not Singing;['Two Feet'];Two Feet;A 20 Something Fuck;188826;False;['indie poptimism', 'modern rock', 'pop'];52;0.261;0.738;7.0;-5.778;1.0;0.0563;0.921;0.951;0.096;0.279;77.783;4.0
7110;Good Times;['Ella Eyre'];Ella Eyre;Friday Feeling;234906;False;['dance pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop'];36;0.432;0.891;6.0;-5.131;1.0;0.233;0.0125;0.0;0.373;0.521;174.705;4.0
7111;Calm Down;['G-Eazy'];G-Eazy;When It's Dark Out;127426;True;['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap'];63;0.538;0.624;11.0;-8.794;1.0;0.325;0.000175;2.2e-06;0.117;0.409;102.346;4.0
7112;Everybody;['Logic'];Logic;Everybody;162346;True;['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap'];67;0.885;0.94;1.0;-5.908;1.0;0.0913;0.161;0.0;0.0675;0.773;110.005;4.0
7113;Hacker;['Death Grips'];Death Grips;The Money Store;275520;True;['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'industrial hip hop'];59;0.681;0.88;9.0;-3.895;1.0;0.227;0.0567;0.0;0.0893;0.38;124.885;4.0
7114;Танцевать;['Molchat Doma'];Molchat Doma;Этажи;202845;False;['belarusian indie', 'russian post-punk', 'sovietwave'];64;0.541;0.803;7.0;-4.494;1.0;0.036;0.521;0.84;0.0786;0.814;84.98;4.0
7115;BALD! REMIX;['JPEGMAFIA', 'Denzel Curry'];JPEGMAFIA;LP!;153127;True;['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'industrial hip hop', 'rap', 'underground hip hop'];51;0.723;0.947;8.0;0.212;1.0;0.365;0.174;0.0;0.63;0.696;154.901;4.0
7116;Poznaj swojego idola;['Sulin'];Sulin;Taksydermia;221546;False;['smutny rap'];9;0.777;0.562;1.0;-6.885;1.0;0.233;0.457;0.0;0.103;0.684;79.509;4.0
7117;La La La (Oh Oh);['Mata', 'White 2115', 'Maurycy Żółtański'];Mata;Młody Matczak;168386;True;['polish hip hop', 'polish trap'];64;0.621;0.397;5.0;-10.269;1.0;0.0734;0.523;1.78e-06;0.095;0.524;164.654;4.0
7118;Sam sobie jadę;['SB Maffija', 'ADM', 'Białas', 'White 2115', 'Mata', 'Beteo', 'Lanek'];SB Maffija;Maffija jest na zawsze;244960;False;['polish hip hop'];46;0.805;0.683;1.0;-7.699;1.0;0.42;0.2;0.0;0.336;0.724;145.053;4.0
