;trackName;artists;primaryArtist;album;durationMs;explicit;artistGenres;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;timeSignature
0;Wosk;['Taco Hemingway'];Taco Hemingway;Wosk;233726;False;['polish hip hop', 'polish trap'];42;0.644;0.503;10.0;-12.027;0.0;0.52;0.18;0.0;0.463;0.526;190.093;4.0
1;900729;['Taco Hemingway'];Taco Hemingway;Trójkąt warszawski;303988;True;['polish hip hop', 'polish trap'];44;0.92;0.461;6.0;-10.513;0.0;0.174;0.331;0.0;0.06;0.696;137.01;4.0
2;Finding Balance - Ambient Mix;['Kaya Project'];Kaya Project;Body.Mind.Soul;315882;False;['psychill', 'psydub', 'world fusion'];45;0.614;0.391;8.0;-13.185;0.0;0.0295;0.518;0.765;0.0956;0.13;136.036;4.0
3;Running Out;['Hans Zimmer'];Hans Zimmer;Interstellar (Original Motion Picture Soundtrack) [Expanded Edition];117241;False;['german soundtrack', 'soundtrack'];52;0.472;0.112;5.0;-36.284;1.0;0.0387;0.978;0.921;0.117;0.357;96.003;5.0
4;Goth Bb;['Ritualz'];Ritualz;CDR;241704;False;['grave wave', 'witch house'];26;0.162;0.528;7.0;-7.313;0.0;0.0396;8.07e-05;0.817;0.214;0.0374;129.356;4.0
5;Spin;['Justin Hurwitz'];Justin Hurwitz;First Man (Original Motion Picture Soundtrack);75373;False;['hollywood', 'movie tunes'];24;0.387;0.0352;2.0;-28.355;1.0;0.0386;0.659;0.824;0.277;0.0325;114.255;3.0
6;Stan;['Eminem', 'Dido'];Eminem;The Marshall Mathers LP;404106;True;['detroit hip hop', 'hip hop', 'rap'];83;0.78;0.768;6.0;-4.325;0.0;0.238;0.0371;2.34e-06;0.518;0.507;80.063;4.0
7;Okolice Płuc;['Ted Nemeth'];Ted Nemeth;Ctrl C;164493;False;['polish alternative', 'polish alternative rock'];17;0.369;0.839;2.0;-5.267;1.0;0.0664;0.00278;0.0;0.337;0.422;155.03;4.0
8;Fairly Local;['Twenty One Pilots'];Twenty One Pilots;Blurryface;207160;False;['modern rock', 'rock'];67;0.715;0.723;6.0;-5.993;0.0;0.0569;0.0396;8.57e-05;0.084;0.479;114.985;4.0
9;Uppercut;['Guzior', 'D3W'];Guzior;EVIL_THINGS;240000;False;['polish hip hop'];46;0.555;0.646;10.0;-5.298;0.0;0.357;0.145;0.0;0.116;0.26;67.357;3.0
10;kwit (trailer);['chillwagon'];chillwagon;kwit (trailer);160747;False;['polish hip hop', 'polish trap'];49;0.782;0.903;7.0;-2.935;1.0;0.166;0.343;0.0;0.0695;0.788;150.074;4.0
11;All Of The Lights;['Kanye West'];Kanye West;My Beautiful Dark Twisted Fantasy;299613;True;['chicago rap', 'rap'];78;0.531;0.803;1.0;-3.284;1.0;0.0717;0.0796;1.71e-05;0.176;0.221;142.113;4.0
12;8 kobiet - Remix;['TACONAFIDE', 'Quebonafide', 'Taco Hemingway', 'Bedoes'];TACONAFIDE;0,25 mg;270813;False;['polish hip hop', 'polish trap'];59;0.725;0.571;8.0;-7.642;1.0;0.128;0.478;0.0;0.112;0.267;140.047;4.0
13;Landselar - Toonorth Remix;['Edamame', 'Toonorth'];Edamame;Bask Remixed;256000;False;[];15;0.754;0.598;11.0;-13.098;0.0;0.059;0.127;0.831;0.0999;0.577;119.988;4.0
14;Janosik;['Bedoes', 'Kubi Producent', 'GOLEC UORKIESTRA'];Bedoes;Kwiat polskiej młodzieży;231546;False;['polish hip hop', 'polish trap'];52;0.723;0.515;8.0;-9.549;0.0;0.356;0.56;2.72e-06;0.363;0.327;87.95;4.0
15;Ms. Jackson;['Outkast'];Outkast;Stankonia;270506;True;['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop'];84;0.843;0.806;4.0;-5.946;0.0;0.269;0.143;0.0;0.0771;0.613;94.948;4.0
16;Forever (feat. The Hacker & Electric Youth);['Gesaffelstein', 'The Hacker', 'Electric Youth'];Gesaffelstein;Hyperion;271733;False;['dark clubbing', 'destroy techno'];48;0.652;0.426;9.0;-12.596;0.0;0.0309;0.00453;0.033;0.0592;0.139;117.985;4.0
17;Słowo na koniec;['Jan-Rapowanie', 'Nocny'];Jan-Rapowanie;Plansze;102216;False;['polish hip hop'];42;0.561;0.456;7.0;-13.729;0.0;0.508;0.889;6.06e-06;0.0548;0.407;77.65;4.0
18;Requiem, K. 626: III. Sequenz, No. 6, Lacrimosa;['Wolfgang Amadeus Mozart', 'Rudolf Kempe', 'Elisabeth Grümmer', 'Gottlob Frick', 'Helmut Krebs', 'Marga Höffgen', 'Berliner Philharmoniker', 'Chor der St. Hedwigs-Kathedrale Berlin'];Wolfgang Amadeus Mozart;Broken Heart: Classical Music;250253;False;['classical', 'classical era'];0;0.169;0.17;2.0;-17.253;0.0;0.0403;0.989;0.904;0.112;0.0342;131.58;3.0
19;Conrad;['SOHN'];SOHN;Rennen;223095;False;['electropop', 'vapor soul'];50;0.606;0.73;11.0;-4.982;0.0;0.0297;0.035;0.000116;0.239;0.6;79.981;4.0
20;Carbon Prevails;['Trent Reznor and Atticus Ross'];Trent Reznor and Atticus Ross;The Social Network;233146;False;['soundtrack'];38;0.429;0.368;10.0;-11.087;0.0;0.0747;0.0635;0.853;0.0984;0.0928;195.926;4.0
21;Real Friends;['Kanye West'];Kanye West;The Life Of Pablo;251573;True;['chicago rap', 'rap'];68;0.441;0.744;6.0;-6.248;0.0;0.476;0.262;0.000382;0.138;0.124;81.396;4.0
22;Body Gold;['Oh Wonder'];Oh Wonder;Oh Wonder;184524;False;['electropop', 'indie poptimism', 'pop', 'pop rock'];54;0.717;0.49;11.0;-7.584;0.0;0.091;0.583;2.54e-06;0.323;0.169;135.02;4.0
23;WHAT'S GOOD;['Tyler, The Creator'];Tyler, The Creator;IGOR;205626;True;['hip hop', 'rap'];68;0.458;0.909;1.0;-6.553;1.0;0.487;0.0567;4.26e-06;0.11;0.449;118.227;4.0
24;Żywot;['Taco Hemingway'];Taco Hemingway;Marmur;314973;True;['polish hip hop', 'polish trap'];42;0.716;0.655;8.0;-11.245;0.0;0.34;0.758;2.04e-06;0.199;0.749;98.02;4.0
25;S.T.A.Y.;['Hans Zimmer'];Hans Zimmer;Interstellar (Original Motion Picture Soundtrack) [Expanded Edition];383513;False;['german soundtrack', 'soundtrack'];66;0.0793;0.0301;5.0;-30.777;1.0;0.0425;0.933;0.929;0.0741;0.0256;191.413;3.0
26;All Mirrors;['Angel Olsen'];Angel Olsen;All Mirrors;282026;False;['alternative americana', 'art pop', 'dream pop', 'freak folk', 'indie pop', 'indie rock'];50;0.429;0.687;9.0;-7.386;0.0;0.0382;0.00311;0.00217;0.152;0.224;105.034;4.0
27;Anja;['Taco Hemingway'];Taco Hemingway;Flagey EP;189240;True;['polish hip hop', 'polish trap'];44;0.675;0.611;9.0;-7.215;0.0;0.243;0.637;0.0;0.354;0.741;148.0;4.0
28;Size;['Epic Mountain'];Epic Mountain;Kurzgesagt, Vol. 4 (Original Motion Picture Soundtrack);397961;False;['video game music'];19;0.508;0.24;0.0;-17.989;1.0;0.0374;0.612;0.854;0.105;0.0359;125.355;4.0
29;"Lose Yourself - From ""8 Mile"" Soundtrack";['Eminem'];Eminem;Curtain Call: The Hits (Deluxe Edition);326466;True;['detroit hip hop', 'hip hop', 'rap'];77;0.692;0.744;2.0;-4.565;1.0;0.257;0.00868;0.000423;0.359;0.0612;171.374;4.0
30;Makijaż;['PRO8L3M'];PRO8L3M;Hack3d by GH05T 2.0 EP;232500;False;['polish alternative rap', 'polish hip hop'];49;0.58;0.674;10.0;-6.106;0.0;0.178;0.162;1.36e-05;0.109;0.511;127.807;4.0
31;Intro;['TACONAFIDE', 'Quebonafide', 'Taco Hemingway'];TACONAFIDE;Soma 0,5 mg;147853;False;['polish hip hop', 'polish trap'];44;0.646;0.66;11.0;-8.948;0.0;0.433;0.431;0.0;0.151;0.348;87.578;4.0
32;Fiji;['Taco Hemingway'];Taco Hemingway;Café Belga;242560;True;['polish hip hop', 'polish trap'];57;0.772;0.81;5.0;-5.654;0.0;0.117;0.194;0.00398;0.126;0.36;104.996;4.0
33;V8;['PRO8L3M'];PRO8L3M;Ground Zero Mixtape;169500;False;['polish alternative rap', 'polish hip hop'];46;0.654;0.805;5.0;-5.019;1.0;0.322;0.0493;5.92e-05;0.1;0.447;160.123;4.0
34;Warrior Concerto;['The Glitch Mob'];The Glitch Mob;We Can Make the World Stop - EP;219702;False;['edm', 'electro house', 'glitch', 'glitch hop', 'indietronica'];48;0.525;0.749;11.0;-4.503;0.0;0.0863;0.0035;0.416;0.103;0.113;103.113;4.0
35;Raise Your Weapon - Madeon Extended Remix;['deadmau5', 'Madeon'];deadmau5;5 Years of mau5;255219;False;['canadian electronic', 'edm', 'electro house', 'pop dance', 'progressive house'];36;0.702;0.696;8.0;-5.799;0.0;0.0572;0.0181;2.36e-05;0.0634;0.445;126.063;4.0
36;Metallica 808;['TACONAFIDE', 'Quebonafide', 'Taco Hemingway'];TACONAFIDE;Soma 0,5 mg;187958;False;['polish hip hop', 'polish trap'];49;0.628;0.778;2.0;-6.34;1.0;0.25;0.173;0.0;0.141;0.362;170.069;4.0
37;When A Fire Starts To Burn;['Disclosure'];Disclosure;Settle (Deluxe);284026;False;['house', 'pop', 'uk dance'];51;0.625;0.756;7.0;-6.954;1.0;0.231;0.00933;0.00134;0.324;0.673;123.948;4.0
38;BLUEBERRY;['Guzior', 'Favst'];Guzior;PLEŚŃ;176000;True;['polish hip hop'];67;0.717;0.725;6.0;-6.287;0.0;0.162;0.467;0.0;0.0987;0.645;119.926;4.0
39;Smoke And Mirrors;['Imagine Dragons'];Imagine Dragons;Smoke + Mirrors (Deluxe);260906;False;['modern rock', 'rock'];50;0.601;0.636;7.0;-7.283;1.0;0.0283;0.0657;0.0218;0.446;0.0812;109.987;4.0
40;Giro d’Italia;['TACONAFIDE', 'Quebonafide', 'Taco Hemingway'];TACONAFIDE;Soma 0,5 mg;179533;False;['polish hip hop', 'polish trap'];44;0.622;0.735;1.0;-7.102;1.0;0.142;0.3;0.0;0.107;0.47;161.88;4.0
41;Handlebars;['Flobots'];Flobots;Fight With Tools;206813;False;['comic', 'conscious hip hop'];64;0.704;0.571;5.0;-7.136;1.0;0.0969;0.0222;0.0;0.101;0.524;141.888;4.0
42;AHA;['Otsochodzi', 'Pezet'];Otsochodzi;Nowy Kolor;190153;True;['polish alternative rap', 'polish hip hop', 'polish trap'];47;0.49;0.677;11.0;-7.533;0.0;0.408;0.38;0.0;0.125;0.502;87.28;5.0
43;Travva;['Jutrø', 'Linda'];Jutrø;W#1;253506;False;['wave'];43;0.54;0.563;7.0;-6.213;1.0;0.0295;0.00936;0.246;0.0889;0.0585;110.031;4.0
44;515;['Taco Hemingway'];Taco Hemingway;Wosk;192131;False;['polish hip hop', 'polish trap'];44;0.852;0.273;8.0;-10.174;1.0;0.459;0.294;0.0;0.155;0.478;97.01;4.0
45;StarWaves;['M83', 'Anthony Gonzalez', 'Joseph Trapanese'];M83;Oblivion (Original Motion Picture Soundtrack);221021;False;['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop'];52;0.321;0.177;8.0;-12.708;1.0;0.035;0.237;0.837;0.102;0.0399;99.088;4.0
46;Rather Be (feat. Jess Glynne);['Clean Bandit', 'Jess Glynne'];Clean Bandit;Rather Be (feat. Jess Glynne);227833;False;['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky'];74;0.799;0.586;11.0;-6.735;1.0;0.0377;0.162;2.03e-06;0.193;0.549;120.97;4.0
47;Little Dark Age;['MGMT'];MGMT;Little Dark Age;299960;False;['alternative dance', 'indie rock', 'indietronica', 'modern rock', 'rock'];84;0.705;0.712;6.0;-6.156;1.0;0.0385;0.0102;0.000855;0.1;0.62;97.512;4.0
48;Motorola;['Taco Hemingway'];Taco Hemingway;Café Belga;191680;True;['polish hip hop', 'polish trap'];41;0.784;0.575;1.0;-9.712;1.0;0.23;0.42;0.0;0.151;0.273;114.063;4.0
49;Ganges;['Białas', 'Lanek', 'Quebonafide'];Białas;POLON;207612;False;['polish hip hop', 'polish trap'];49;0.723;0.717;4.0;-5.265;0.0;0.204;0.19;0.000191;0.0722;0.402;135.003;4.0
50;Portier!;['Taco Hemingway'];Taco Hemingway;Marmur;50573;False;['polish hip hop', 'polish trap'];40;0.572;0.649;11.0;-14.223;1.0;0.881;0.657;9.06e-06;0.742;0.813;67.125;4.0
51;We Need Our Army Back;['Hans Zimmer'];Hans Zimmer;Dunkirk (Original Motion Picture Soundtrack);388146;False;['german soundtrack', 'soundtrack'];35;0.216;0.135;9.0;-25.868;1.0;0.0455;0.744;0.906;0.093;0.021;95.224;4.0
52;Mgła I (Siwe włosy);['Taco Hemingway'];Taco Hemingway;Marmur;234160;True;['polish hip hop', 'polish trap'];44;0.668;0.532;7.0;-8.001;1.0;0.0975;0.287;0.0;0.117;0.352;143.949;4.0
53;Bevor Alles Wieder Passiert;['Ben Frost'];Ben Frost;Dark: Cycle 3 (Music from the Netflix Original Series);136716;False;['australian experimental', 'compositional ambient', 'drone', 'icelandic classical', 'icelandic experimental', 'mandible', 'soundtrack'];14;0.168;0.45;5.0;-15.74;1.0;0.0437;0.0616;0.808;0.0714;0.0388;113.335;3.0
54;Blame (feat. John Newman);['Calvin Harris', 'John Newman'];Calvin Harris;Motion;212960;False;['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop rap', 'progressive house', 'uk dance'];77;0.414;0.857;0.0;-4.078;0.0;0.0808;0.0287;0.00574;0.343;0.348;128.024;4.0
55;Ride;['Twenty One Pilots'];Twenty One Pilots;Blurryface;214506;False;['modern rock', 'rock'];83;0.645;0.713;6.0;-5.355;1.0;0.0393;0.00835;0.0;0.113;0.566;74.989;4.0
56;Omen;['The Prodigy'];The Prodigy;Invaders Must Die;216026;False;['big beat', 'breakbeat', 'dance rock', 'hardcore techno', 'rave'];61;0.545;0.953;7.0;-5.172;1.0;0.0441;0.000941;0.117;0.281;0.558;140.002;4.0
57;Dvd;['Mlodyskiny', 'schafter'];Mlodyskiny;Dvd;147822;True;['polish trap'];48;0.821;0.49;6.0;-11.47;0.0;0.202;0.145;0.0;0.0964;0.665;85.013;4.0
58;Nowy Kolor;['Otsochodzi', 'Taco Hemingway'];Otsochodzi;Nowy Kolor;188112;True;['polish alternative rap', 'polish hip hop', 'polish trap'];56;0.694;0.663;11.0;-6.882;0.0;0.334;0.631;0.0;0.0906;0.214;154.852;4.0
59;Toy Story;['Bedoes', 'Kubi Producent', 'Rafonix'];Bedoes;Kwiat polskiej młodzieży;161146;False;['polish hip hop', 'polish trap'];53;0.657;0.536;10.0;-9.295;0.0;0.171;0.548;1.24e-05;0.109;0.4;165.89;4.0
60;Ride (feat. MUTEMATH);['Twenty One Pilots', 'Mutemath'];Twenty One Pilots;TOPxMM;228800;False;['modern rock', 'rock'];44;0.529;0.841;6.0;-5.304;1.0;0.0787;0.208;0.00807;0.122;0.337;149.857;4.0
61;Time Remastered;['Epic Mountain'];Epic Mountain;Kurzgesagt, Vol. 5 (Original Motion Picture Soundtrack);432773;False;['video game music'];30;0.739;0.177;4.0;-15.828;0.0;0.0366;0.917;0.796;0.37;0.22;120.025;4.0
62;Rozmowa;['Łona I Webber'];Łona I Webber;Koniec Żartów;187853;False;['polish alternative', 'polish alternative rap', 'polish hip hop'];45;0.811;0.848;6.0;-5.812;1.0;0.239;0.266;8.64e-05;0.194;0.52;95.014;4.0
63;Trójkąt;['Taco Hemingway'];Taco Hemingway;Trójkąt warszawski;326923;True;['polish hip hop', 'polish trap'];52;0.646;0.416;9.0;-16.166;1.0;0.404;0.263;0.0;0.603;0.719;146.155;4.0
64;Gigi;['Reto'];Reto;good7uck;261197;True;['polish hip hop', 'polish trap'];39;0.595;0.826;6.0;-6.073;1.0;0.166;0.0829;0.0;0.147;0.369;128.135;4.0
65;Opowieści z Doliny Smoków;['Bedoes', 'Lanek'];Bedoes;Opowieści z Doliny Smoków;198090;False;['polish hip hop', 'polish trap'];58;0.704;0.557;10.0;-9.405;0.0;0.29;0.22;0.0;0.0717;0.251;112.982;4.0
66;Sorry;['Halsey'];Halsey;hopeless fountain kingdom (Deluxe);220540;False;['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop'];77;0.513;0.25;5.0;-9.376;0.0;0.0367;0.913;0.0;0.117;0.351;74.103;4.0
67;Wiem;['TACONAFIDE', 'Quebonafide', 'Taco Hemingway'];TACONAFIDE;Soma 0,5 mg;221386;False;['polish hip hop', 'polish trap'];47;0.744;0.634;8.0;-7.308;0.0;0.135;0.189;0.000103;0.151;0.51;140.002;4.0
68;Habits (Stay High);['Tove Lo'];Tove Lo;Queen Of The Clouds;209160;False;['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop'];75;0.729;0.65;5.0;-3.539;1.0;0.0313;0.0702;6.69e-05;0.0829;0.347;110.02;4.0
69;First Step;['Hans Zimmer'];Hans Zimmer;Interstellar (Original Motion Picture Soundtrack) [Expanded Edition];107767;False;['german soundtrack', 'soundtrack'];59;0.163;0.084;9.0;-19.007;0.0;0.0329;0.433;0.95;0.102;0.0345;71.028;4.0
70;"TRON Legacy (End Titles) - From ""TRON: Legacy""/Score";['Daft Punk'];Daft Punk;TRON: Legacy;197826;False;['electro', 'filter house'];47;0.43;0.829;1.0;-9.142;0.0;0.043;1.62e-05;0.879;0.358;0.0406;101.974;4.0
71;Грустная сука;['IC3PEAK'];IC3PEAK;Сладкая жизнь;199663;True;['witch house'];66;0.528;0.617;8.0;-6.123;1.0;0.0657;0.202;0.153;0.146;0.0356;119.047;4.0
72;Lanterns Lit;['Son Lux'];Son Lux;Lanterns;176253;False;['abstract hip hop'];39;0.43;0.206;1.0;-11.076;0.0;0.0387;0.714;0.0342;0.148;0.0345;94.63;3.0
73;bitches broken hearts;['Billie Eilish'];Billie Eilish;bitches broken hearts;176471;True;['art pop', 'electropop', 'pop'];76;0.778;0.422;0.0;-10.114;1.0;0.0482;0.921;0.00924;0.0958;0.187;120.033;4.0
74;Neurotransmitter;['Carbon Based Lifeforms'];Carbon Based Lifeforms;Hydroponic Garden;456000;False;['ambient trance', 'downtempo', 'psychill'];31;0.469;0.684;4.0;-11.966;0.0;0.0386;0.239;0.982;0.568;0.0675;90.016;4.0
75;Sweater Weather;['The Neighbourhood'];The Neighbourhood;I Love You.;240400;False;['modern alternative rock', 'modern rock', 'pop'];92;0.612;0.807;10.0;-2.81;1.0;0.0336;0.0495;0.0177;0.101;0.398;124.053;4.0
76;Last Friday Night (T.G.I.F.);['Katy Perry'];Katy Perry;Teenage Dream;230733;False;['dance pop', 'pop', 'post-teen pop'];73;0.652;0.812;3.0;-3.797;0.0;0.0409;0.00125;3.01e-05;0.667;0.72;126.023;4.0
77;Café Belga;['Taco Hemingway'];Taco Hemingway;Café Belga;249653;True;['polish hip hop', 'polish trap'];48;0.678;0.599;8.0;-7.701;1.0;0.143;0.457;1.33e-06;0.384;0.267;174.021;4.0
78;Jak chciałbym żyć;['Jan-Rapowanie', 'Kuba Karaś'];Jan-Rapowanie;Jak chciałbym żyć;226092;False;['polish hip hop'];42;0.772;0.765;4.0;-6.169;0.0;0.0871;0.247;2.52e-06;0.116;0.72;108.052;4.0
79;Paradise;['Coldplay'];Coldplay;Mylo Xyloto;278719;False;['permanent wave', 'pop'];82;0.449;0.585;5.0;-6.761;1.0;0.0268;0.0509;8.75e-05;0.0833;0.212;139.631;4.0
80;Let Go;['Ark Patrol', 'Veronika Redd'];Ark Patrol;Let Go;248056;False;['future bass', 'vapor soul', 'vapor twitch'];73;0.47;0.436;0.0;-10.228;1.0;0.0351;0.67;0.263;0.294;0.0389;81.972;3.0
81;MASSA;['Tyler, The Creator'];Tyler, The Creator;CALL ME IF YOU GET LOST;223718;True;['hip hop', 'rap'];69;0.685;0.855;1.0;-6.724;0.0;0.438;0.329;8.9e-05;0.301;0.46;157.181;4.0
82;I.S.W.T;['Taco Hemingway'];Taco Hemingway;Szprycer;248133;True;['polish hip hop', 'polish trap'];40;0.81;0.654;2.0;-9.828;1.0;0.112;0.0416;0.000406;0.122;0.406;120.02;4.0
83;Take A Ride (feat. Ginger) - Edit;['Boris Brejcha', 'Ginger'];Boris Brejcha;Take A Ride (feat. Ginger) [Edit];216000;False;['german house', 'german techno', 'high-tech minimal', 'minimal techno', 'tech house'];48;0.723;0.593;0.0;-10.619;1.0;0.0671;0.00237;0.381;0.139;0.301;125.044;4.0
84;watch;['Billie Eilish'];Billie Eilish;dont smile at me;177523;False;['art pop', 'electropop', 'pop'];79;0.441;0.599;0.0;-8.985;1.0;0.225;0.333;0.00198;0.103;0.35;165.212;4.0
85;Świecące prostokąty;['Taco Hemingway'];Taco Hemingway;Marmur;257146;False;['polish hip hop', 'polish trap'];45;0.785;0.635;11.0;-8.066;1.0;0.138;0.497;0.0;0.177;0.88;140.1;4.0
86;Messages from Hermes;['Harry Gregson-Williams'];Harry Gregson-Williams;The Martian: Original Motion Picture Score;211253;False;['british soundtrack', 'soundtrack', 'video game music'];35;0.29;0.0542;5.0;-24.443;1.0;0.0344;0.931;0.951;0.168;0.0361;94.881;4.0
87;Esskeetit;['Lil Pump'];Lil Pump;Esskeetit;181714;True;['emo rap', 'miami hip hop', 'rap', 'trap'];60;0.934;0.505;11.0;-7.648;1.0;0.168;0.0229;0.0;0.0867;0.691;139.93;4.0
88;Shelter;['The xx'];The xx;xx;270240;False;['downtempo', 'dream pop', 'indietronica'];46;0.264;0.377;0.0;-15.678;1.0;0.0803;0.802;0.537;0.107;0.0621;214.67;4.0
89;Dissatisfaction;['Epic Mountain'];Epic Mountain;Kurzgesagt, Vol. 6 (Original Motion Picture Soundtrack);534559;False;['video game music'];29;0.66;0.311;9.0;-17.867;0.0;0.036;0.926;0.896;0.0694;0.169;120.002;4.0
90;Szlugi I Kalafiory;['Taco Hemingway'];Taco Hemingway;Trójkąt warszawski;186045;False;['polish hip hop', 'polish trap'];50;0.873;0.527;11.0;-12.053;0.0;0.247;0.0489;1.81e-06;0.336;0.133;88.005;4.0
91;Prawdy nie mówi nikt;['PRO8L3M'];PRO8L3M;WIDMO;141440;False;['polish alternative rap', 'polish hip hop'];44;0.712;0.527;6.0;-9.056;1.0;0.112;0.387;0.0;0.0893;0.427;100.997;4.0
92;RICKY;['Denzel Curry'];Denzel Curry;ZUU;147866;True;['dark trap', 'drill', 'hip hop', 'miami hip hop', 'rap', 'underground hip hop'];68;0.776;0.562;9.0;-6.901;1.0;0.363;0.0399;0.0;0.138;0.521;169.03;4.0
93;A mówiłem Ci;['Taco Hemingway'];Taco Hemingway;Umowa o dzieło;339466;True;['polish hip hop', 'polish trap'];48;0.803;0.577;11.0;-7.287;0.0;0.31;0.291;0.0;0.108;0.661;149.968;4.0
94;Tajemnice Atlantydy /;['Bedoes', 'Lanek'];Bedoes;Rewolucja Romantyczna;175973;True;['polish hip hop', 'polish trap'];54;0.632;0.678;2.0;-7.055;0.0;0.353;0.387;0.0;0.292;0.551;148.663;4.0
95;Hardest To Love;['The Weeknd'];The Weeknd;After Hours;211400;True;['canadian contemporary r&b', 'canadian pop', 'pop'];70;0.467;0.608;10.0;-7.847;1.0;0.0707;0.0909;8.83e-05;0.125;0.108;80.957;4.0
96;Kryptowaluty;['TACONAFIDE', 'Quebonafide', 'Taco Hemingway'];TACONAFIDE;Soma 0,5 mg;276173;False;['polish hip hop', 'polish trap'];53;0.781;0.666;1.0;-6.56;1.0;0.291;0.325;0.0;0.082;0.526;130.119;4.0
97;Toccata;['OVERWERK'];OVERWERK;Canon;410742;False;['canadian electronic', 'complextro', 'edm', 'electro house'];53;0.653;0.663;2.0;-5.672;1.0;0.225;0.000213;0.606;0.0929;0.525;128.024;4.0
98;Shake That;['Eminem', 'Nate Dogg'];Eminem;Curtain Call: The Hits (Deluxe Edition);274440;True;['detroit hip hop', 'hip hop', 'rap'];75;0.963;0.643;1.0;-5.785;0.0;0.117;0.0507;4.94e-05;0.157;0.534;107.005;4.0
99;Daddy Cool;['Boney M.'];Boney M.;Take The Heat Off Me;208600;False;['europop'];74;0.763;0.777;5.0;-6.932;0.0;0.0364;0.281;0.79;0.134;0.929;124.431;4.0
100;As The Rush Comes - Gabriel & Dresden Chillout Mix;['Motorcycle', 'Gabriel & Dresden'];Motorcycle;As The Rush Comes;381000;False;['trance'];50;0.492;0.715;7.0;-7.901;1.0;0.0478;0.217;0.000151;0.232;0.175;135.039;4.0
101;Shockwave - Gesaffelstein Remix;['The Hacker'];The Hacker;Shockwave;395560;False;['electroclash', 'french techno'];38;0.91;0.595;6.0;-7.349;0.0;0.0943;0.000148;0.853;0.0846;0.138;124.986;4.0
102;Do I Wanna Know?;['Arctic Monkeys'];Arctic Monkeys;AM;272394;False;['garage rock', 'permanent wave', 'rock', 'sheffield indie'];87;0.548;0.532;5.0;-7.596;1.0;0.0323;0.186;0.000263;0.217;0.405;85.03;4.0
103;Nostalgia;['Taco Hemingway'];Taco Hemingway;Szprycer;229186;False;['polish hip hop', 'polish trap'];53;0.838;0.461;1.0;-9.61;0.0;0.217;0.641;0.0;0.0825;0.497;104.979;4.0
104;Derelicts;['Carbon Based Lifeforms', 'Ester Nannmark'];Carbon Based Lifeforms;Derelicts;372009;False;['ambient trance', 'downtempo', 'psychill'];39;0.478;0.486;9.0;-12.319;0.0;0.0322;0.358;0.875;0.216;0.0369;139.987;4.0
105;Następna stacja;['Taco Hemingway'];Taco Hemingway;Umowa o dzieło;251826;True;['polish hip hop', 'polish trap'];61;0.665;0.617;11.0;-7.068;0.0;0.233;0.422;0.0;0.0701;0.868;90.992;4.0
106;Black Hole Bomb;['Epic Mountain'];Epic Mountain;Kurzgesagt, Vol. 5 (Original Motion Picture Soundtrack);445503;False;['video game music'];26;0.529;0.471;2.0;-12.552;0.0;0.03;0.172;0.866;0.0674;0.0639;104.993;4.0
107;Dorosłość;['Leh'];Leh;Podwórka pytają kiedy płyta;302986;False;['polish alternative rap', 'polish hip hop'];36;0.796;0.814;6.0;-5.823;0.0;0.273;0.512;0.0;0.0839;0.459;130.004;4.0
108;"Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro";['Wolfgang Amadeus Mozart', 'David Parry', 'London Philharmonic Orchestra'];Wolfgang Amadeus Mozart;Classical Chill;351426;False;['classical', 'classical era'];0;0.425;0.274;7.0;-13.4;1.0;0.0415;0.974;0.944;0.101;0.393;138.199;4.0
109;One night in Paris;['Małach', 'Rufuz'];Małach;Oryginał;250506;True;['polish alternative rap', 'polish hip hop'];39;0.725;0.787;0.0;-6.158;1.0;0.337;0.199;0.0;0.809;0.783;94.121;4.0
110;3.5 karrat;['schafter'];schafter;FUTURA;173026;True;['polish hip hop', 'polish trap'];41;0.737;0.673;9.0;-6.683;1.0;0.234;0.0285;0.0;0.186;0.419;86.02;4.0
111;Tlen;['Taco Hemingway'];Taco Hemingway;Szprycer;281933;True;['polish hip hop', 'polish trap'];50;0.826;0.367;7.0;-10.406;1.0;0.187;0.465;7.17e-05;0.0674;0.0732;106.979;4.0
112;Dead Presidents II;['JAY-Z'];JAY-Z;Reasonable Doubt;266066;True;['east coast hip hop', 'hip hop', 'rap'];59;0.758;0.912;0.0;-8.758;0.0;0.349;0.172;1.09e-06;0.149;0.573;87.335;4.0
113;Od początku;['Otsochodzi'];Otsochodzi;7;242416;True;['polish alternative rap', 'polish hip hop', 'polish trap'];21;0.631;0.947;6.0;-6.458;1.0;0.139;0.267;2.1e-05;0.289;0.412;100.021;4.0
